symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
COP,1Min,1min,4.804917971993319,4.787726635537559,42.32178753537279,-2.1104341282236505,42.32478170887769,0.0009714610443984142,0.5190771960958296,0.001,1.0,10
APP,1Min,1min,4.760813006998246,4.5098530254484475,106.74023412465598,-6.354480957857364,107.8810874457496,0.37015041279385813,0.5359492481203008,0.001,1.0,10
EQT,5Min,5min,4.760358598464897,4.340370066548328,47.40550633807461,-2.0666979802724224,47.84987419776823,0.14417536738228698,0.5686567164179105,0.001,1.0,20
KMI,1Min,1min,4.721607508546582,4.6965835548548185,32.54007999415962,-1.7635720775077142,32.5048687723801,-0.011424297966868483,0.5199440167949615,0.001,1.0,10
IBM,1Min,1min,4.701768747975897,4.975915043688193,43.8152353570312,-2.5730771405948825,43.82974920554792,0.004709025183484059,0.5219298245614035,0.001,1.0,10
JPM,1Min,1min,4.641030028177927,3.8478677024875387,34.301379002560026,-2.108433734939792,34.91914422934391,0.20043422714897763,0.5274725274725275,0.001,1.5,10
AES,5Min,5min,4.604164444694851,5.583771828438408,9.135462891784375,-0.5619299165317649,9.203134698574642,0.02195615050138191,0.59375,0.001,1.5,10
CRWD,1Min,1min,4.589003436362865,4.574234326815481,64.43852286480293,-5.1193250636518295,64.80743582151213,0.11969398754960925,0.5302523563393129,0.001,1.5,10
AXP,1Min,1min,4.573605910044275,4.127053937214351,37.28742504613629,-3.2229757397712944,36.89529182331642,-0.12722781413987735,0.5239393939393939,0.001,1.0,10
CVX,1Min,1min,4.56623379080204,4.201132123534646,35.830148879051535,-2.5930158238384093,35.79404242739055,-0.011714755735666584,0.5261759234653203,0.001,1.0,10
COST,1Min,1min,4.559567421703731,3.8689278909449456,24.48404061006857,-1.1814947478063573,24.54394862223345,0.019437183573461313,0.5517988729952319,0.001,1.5,20
O,1Min,1min,4.524712137006416,4.337045268883045,18.54428593467079,-2.4872203248452647,18.592124693087335,0.015521308347031726,0.511578947368421,0.001,1.0,20
NCLH,1Min,1min,4.523290081883589,4.185585662989186,81.15831534823315,-7.851248262386899,82.13527034089097,0.3169735207210199,0.5276235019000293,0.001,1.0,10
HAL,1Min,1min,4.433514272423647,3.7062187650999365,52.9964324830257,-4.05472959222387,52.84600051076901,-0.04880772628582375,0.5184946928272757,0.001,1.0,10
WBD,1Min,1min,4.3758571160296365,3.9252917548241597,17.35791359427088,-1.744700117439641,17.27549440751656,-0.02674094507609452,0.5353577371048253,0.001,1.0,10
XOM,1Min,1min,4.346953287465011,4.641897586251076,29.040157175836946,-1.8694752244662514,29.00128664681736,-0.01261156197391195,0.5238704177323104,0.01,1.0,10
UBER,1Min,1min,4.340599236329719,3.9584181934351395,46.40911656491482,-4.092222453733968,46.88360519918854,0.1539480672888342,0.5296187683284458,0.001,1.0,20
DAL,1Min,1min,4.323677153370276,4.1204970010810165,63.84663371239894,-6.576346372813056,63.92636950655487,0.025870317047393638,0.5272914521112255,0.001,1.5,20
CTRA,1Min,1min,4.322572496568242,3.506235975890339,43.86077560535839,-2.8920664503078153,43.82174533493353,-0.012663390150251723,0.5387420237010028,0.001,1.5,20
FANG,1Min,1min,4.2065556896962235,3.594360184940426,36.70907343477454,-2.42345370147434,36.67701530249198,-0.01040127655185072,0.5271493212669683,0.001,2.0,10
